pageid,title,wikidata,label
277805,Edi Rama,Q316901,Edi Rama
25585073,Ferit Hoxha,Q5444326,Ferit Hoxha
31573453,Arben Ahmetaj,Q13037063,Arben Ahmetaj
40588755,Niko Peleshi,Q13043483,Niko Peleshi
41607407,Mirela Kumbaro,Q15724978,Mirela Kumbaro
47394807,Erion Veliaj,Q16354049,Erion Veliaj
47812334,Lindita Nikolla,Q15193651,Lindita Nikolla
54545263,Olta Xhaçka,Q13043722,Olta Xhaçka
56172418,Ogerta Manastirliu,Q31669464,Ogerta Manastirliu
60186987,Elisa Spiropali,Q31880047,Elisa Spiropali
65301641,Belinda Balluku,Q70480584,Belinda Balluku
65301682,Elva Margariti,Q61080034,Elva Margariti
65301702,Bledar Çuçi,Q16350979,Bledi Çuçi
66761188,Bajram Begaj,Q107422711,Bajram Begaj
68758019,Frida Krifca,Q108597695,Frida Krifca
68765400,Evis Kushi,Q31880612,Evis Kushi
68783087,Delina Ibrahimaj,Q108698181,Delina Ibrahimaj
68939604,Ulsi Manja,Q31970269,Ulsi Manja
69525189,Bora Muzhaqi,Q109524653,Bora Muzhaqi
69525353,Milva Ekonomi,Q25570422,Milva Ekonomi
69525557,Edona Bilali,Q109179095,Edona Bilali
