@@,itemlabel,item,startdate,enddate
->,Halim Abazi,Q47281249->NULL,1991-02-01->1991-02,1991-06-01->1991-06
->,Kostaq Karoli,Q16360429->NULL,1991-06-01->1991-06,1992-08-01->1992-08
->,Ilia Vasho,Q47281460->NULL,1992-01-01->1992-08,1994-01-01->1994
->,Sheme Kosova,Q47281520->NULL,1994-01-01->1994,1997-03-02
->,Adem Çopani,Q47281642->NULL,1997-03-01->1997-03-02,1997-08-01->1997-08
->,Aleks Andoni,Q47281703->NULL,1997-09-01->1997-09,2000-01-01->2000
->,Pëllumb Qazimi,Q47281809->NULL,2000-01-01->2000,2006-01-01->2006
->,Luan Hoxha,Q6694979,2006-10-01->2006-10,2008-06-01->2008-06
->,Maksim Malaj,Q13042437->NULL,2008-06-01->2008-06,2011-07-01->2011-08-08
->,Xhemal Gjunkshi,Q8043992,2011-08-08,2013-11-07->2013-11-08
->,Jeronim Bazo,Q13040364,2013-11-08,2017-01-01->2017-01
