item,itemLabel,startDate,endDate
Q6809645,Mehmet Deralla,1912-12-04,1914-01-24
Q366796,Esad Toptani,1914-03-14,1914-05-20
Q109637757,Kara Seit Pasha,1914-08,1914-09-03
Q61079675,Isuf Dibra,1914-10-05,1916-01-27
,Ali Riza Kolonja,1920-01-30,1920-11-04
,Selahudin Shkoza,1920-11-15,1921-10-16
,Isuf Gjinali,1921-10-16,1921-12-06
,Zija Dibra,1921-12-06,1921-12-12
,Shefki Kosturi,1921-12-12,1921-12-24
,Ismail Haki Tatzati,1921-12-24,1923-08-19
Q29948349,Mustafa Aranitasi,1923-08-19,1924-02-25
Q29948349,Mustafa Aranitasi,1924-05-30,1924-06-10
,Kasem Qafzezi,1924-06-16,1924-12-24
Q53783,Enver Hoxha,1944-10-23,1953-07-31
Q567315,Beqir Balluku,1953-08-01,1974-10-28
Q172213,Mehmet Shehu,1974-10-28,1981-12-18
Q836493,Kadri Hazbiu,1982-01-15,1982-10-10
Q1790185,Prokop Murra,1982-10-10,1990-07-07
Q1744025,Kiço Mustaqi,1990-07-08,1991-05-10
,Ndriçim Karakaçi,1991-05-11,1991-06-04
Q13044094,Perikli Teta,1991-06-11,1991-12-06
Q190889,Alfred Moisiu,1991-12-18,1992-04-13
Q13045327,Safet Zhulali,1992-04-13,1997-03-01
Q13045647,Shaqir Vukaj,1997-03-11,1997-07-24
Q13045302,Sabit Brokaj,1997-07-25,1998-04-23
,Luan Hajdaraga,1998-04-24,2000-07-08
Q13040130,Ilir Gjoni,2000-07-08,2000-11-09
Q13040243,Ismail Lleshi,2000-11-09,2001-09-06
Q381214,Pandeli Majko,2001-09-06,2002-01-29
,Luan Rama,2002-02-22,2002-07-25
Q381214,Pandeli Majko,2002-07-29,2005-09-10
Q983272,Fatmir Mediu,2005-09-11,2008-03-21
Q531457,Gazmend Oketa,2008-03-28,2009-09-17
Q531489,Arben Imami,2009-09-17,2013-09-15
Q16855243,Mimi Kodheli,2013-09-15,2017-09-13
Q13043722,Olta Xhaçka,2017-09-13,2020-12-31
Q13043483,Niko Peleshi,2021-01-04,
