name,position
Edi Rama,Prime Minister
Arben Ahmetaj,Deputy Prime Minister
Olta Xhaçka,Minister for Europe and Foreign Affairs
Bledar Çuçi,Minister of Interior
Delina Ibrahimaj,Minister of Finance and Economy
Belinda Balluku,Minister of Infrastructure and Energy
Evis Kushi,Minister of Education and Sports
Ulsi Manja,Minister of Justice
Edona Bilali,Minister of State for Entrepreneurship Protection
Niko Peleshi,Minister of Defense
Frida Krifca,Minister of Agriculture and Rural Development
Ogerta Manastirliu,Minister of Health and Social Welfare
Mirela Kumbaro Furxhi,Minister of Tourism and Environment
Elva Margariti,Minister of Culture
Bora Muzhaqi,Minister of State for Youth and Children
Milva Ekonomi,Minister of State for Standards and Services
Elisa Spiropali,Minister of State for Parliament Relations
